game_id,end,shot_num,method,seed,candidate_idx,cluster_id,is_representative,shot_type,label,e_score,e_sd,cluster_value,land_x,land_y,cluster_sd,cluster_value_risk,risk_lambda,rep_rank,rep_visits
7977,6,14,ClusterValue,44,0,0,0,"Draw","Draw(CW,TEE)",-3.200000,1.469694,-3.251282,0.244687,37.695061,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,2,0,0,"Draw","Draw(CW,S0)",-3.200000,1.166190,-3.251282,0.068933,37.301102,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,4,0,0,"Draw","Draw(CW,S2)",-2.800000,1.469694,-3.251282,0.818813,37.385250,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,6,0,0,"Draw","Draw(CW,S4)",-2.400000,1.356466,-3.251282,0.188384,37.467415,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,9,0,0,"Draw","Draw(CCW,S6)",-3.200000,0.979796,-3.251282,-0.625205,36.542332,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,10,0,0,"Draw","Draw(CW,L0)",-3.200000,1.166190,-3.251282,-0.036396,37.142143,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,11,0,0,"Draw","Draw(CCW,L0)",-3.400000,1.200000,-3.251282,1.016140,37.040474,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,12,0,0,"Draw","Draw(CW,L1)",-3.000000,1.095445,-3.251282,1.085963,37.575485,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,18,0,0,"Draw","Draw(CW,L4)",-3.400000,1.200000,-3.251282,-0.052081,36.454243,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,19,0,0,"Draw","Draw(CCW,L4)",-4.000000,0.000000,-3.251282,0.003801,36.399292,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,32,0,0,"Hit","Hit(CW,1,TOUCH)",-2.000000,1.264911,-3.251282,-0.091143,36.849178,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,33,0,0,"Hit","Hit(CCW,1,TOUCH)",-3.800000,1.600000,-3.251282,-0.113337,36.431705,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,40,0,0,"Freeze","Freeze(CW,1)",-3.400000,1.200000,-3.251282,-0.168013,36.797787,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,41,0,0,"Freeze","Freeze(CCW,1)",-2.400000,1.356466,-3.251282,-0.087974,36.423096,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,42,0,0,"Hit","Hit(CW,3,TOUCH)",-3.800000,0.979796,-3.251282,-0.066042,37.158138,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,43,0,0,"Hit","Hit(CCW,3,TOUCH)",-3.400000,1.356466,-3.251282,0.187799,36.343239,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,50,0,0,"Freeze","Freeze(CW,3)",-2.200000,1.469694,-3.251282,-0.098725,37.147625,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,51,0,0,"Freeze","Freeze(CCW,3)",-4.000000,0.632456,-3.251282,0.184051,36.343098,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,53,0,0,"Hit","Hit(CCW,5,TOUCH)",-3.200000,0.400000,-3.251282,0.756512,37.358860,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,60,0,0,"Freeze","Freeze(CW,5)",-3.800000,0.979796,-3.251282,0.619402,36.587814,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,61,0,0,"Freeze","Freeze(CCW,5)",-2.200000,1.469694,-3.251282,0.717779,37.344318,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,62,0,0,"Hit","Hit(CW,7,TOUCH)",-3.200000,1.166190,-3.251282,-0.221317,36.745811,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,63,0,0,"Hit","Hit(CCW,7,TOUCH)",-3.600000,0.800000,-3.251282,-0.381508,37.019806,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,70,0,0,"Freeze","Freeze(CW,7)",-2.600000,1.200000,-3.251282,-0.274915,36.718197,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,71,0,0,"Freeze","Freeze(CCW,7)",-3.600000,0.800000,-3.251282,-0.412782,37.019135,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,82,0,0,"Hit","Hit(CW,11,TOUCH)",-3.800000,0.400000,-3.251282,0.077058,36.360340,1.278395,-3.251282,0,,
7977,6,14,ClusterValue,44,83,0,0,"Hit","Hit(CCW,11,TOUCH)",-3.600000,1.356466,-3.251282,0.158774,37.663586,1.278395,-3.251282,0,,
